Avenue Gabriel Péri	LINESTRING (2.3256112 48.7002045, 2.3257851 48.7003619, 2.3260077 48.7005375, 2.326267 48.7007599, 2.3263095 48.7007903, 2.3263406 48.7008126, 2.326362 48.7008294, 2.3264448 48.7008941, 2.3269464 48.7013048, 2.3270437 48.7013916, 2.3271543 48.7014845, 2.3274255 48.7017052, 2.3276773 48.701904, 2.3277509 48.7019608, 2.3278369 48.7020271, 2.3280126 48.7021726, 2.3283452 48.7024448, 2.3284518 48.702538, 2.3285142 48.7025962, 2.3290935 48.7030653, 2.3291561 48.7031155, 2.3292464 48.7031874, 2.3297493 48.7036025, 2.3298383 48.7036737, 2.3299481 48.7037676, 2.3302972 48.7040494, 2.3304759 48.7041996, 2.3305651 48.7042732)
Avenue de la République	LINESTRING (2.3208609 48.7025358, 2.3210129 48.702565, 2.3220651 48.7027667, 2.3233227 48.7030094, 2.3233694 48.7030184, 2.3234451 48.703033)
Avenue des Droits de l'Homme	LINESTRING (2.3234451 48.703033, 2.3233508 48.7030754, 2.3225796 48.7034226, 2.3218571 48.7037388, 2.3218027 48.7037626, 2.3217675 48.7037768)
Avenue Honoré de Balzac	LINESTRING (2.3224571 48.7043833, 2.3225167 48.7043852, 2.3241764 48.7044378, 2.3243401 48.7044113, 2.3247233 48.7042393, 2.324776 48.7042157)
Route de Massy	LINESTRING (2.3085057 48.7120153, 2.3087637 48.7119411, 2.3098708 48.7115612, 2.3100147 48.7115085, 2.3101618 48.7114313, 2.3104445 48.7112449)
Route de Massy	LINESTRING (2.3085057 48.7120153, 2.3087706 48.7119838, 2.3089945 48.7120035, 2.3091541 48.711991, 2.3092354 48.7119657)
Avenue Mazarin	LINESTRING (2.3108548 48.7077015, 2.310811 48.7077551)
Route de Massy	LINESTRING (2.3074614 48.7122144, 2.3062511 48.7124454)
Avenue de l'Avenir	LINESTRING (2.3256112 48.7002045, 2.3256004 48.7001896, 2.3254719 48.7000405, 2.3248337 48.6991296, 2.3241065 48.6982184, 2.3240872 48.6981939, 2.3240679 48.6981693)
Avenue de l'Espérance	LINESTRING (2.3265557 48.699766, 2.3265252 48.6997221, 2.32603 48.6990091, 2.3252616 48.6980335, 2.325217 48.6979769)
Avenue des Cerisiers	LINESTRING (2.3232175 48.7012906, 2.3231869 48.7012566, 2.3231636 48.7012308, 2.3224283 48.700416, 2.321279 48.6991623, 2.3212352 48.6991173)
Avenue des Vignes	LINESTRING (2.3239572 48.7009524, 2.3239333 48.7009223, 2.3239177 48.7009028, 2.3229856 48.6997343, 2.3229588 48.6997007, 2.3220817 48.6986987)
Avenue des Framboisiers	LINESTRING (2.324692 48.7006143, 2.3246717 48.700586, 2.3246513 48.7005577, 2.323845 48.6994421, 2.3229874 48.6983638)
Avenue Pierre Corneille	LINESTRING (2.3291561 48.7031155, 2.3309177 48.7023071, 2.3334762 48.7011449, 2.3335544 48.7011097, 2.333606 48.7010872)
Avenue La Bruyère	LINESTRING (2.3260091 48.7054118, 2.3270701 48.7049291, 2.3284777 48.7042551, 2.3288045 48.7041369, 2.3288646 48.7041152, 2.3289246 48.7040935, 2.3289839 48.7040662, 2.3290195 48.7040499, 2.3298383 48.7036737, 2.3308716 48.7032064, 2.333344 48.7020632, 2.3338111 48.7020293)
Avenue Alfred de Musset	LINESTRING (2.3309923 48.7008552, 2.3309644 48.7013994, 2.3309177 48.7023071, 2.3308716 48.7032064, 2.3308286 48.7040428, 2.3308266 48.7040822)
L'Aquitaine	LINESTRING (2.3133302 48.7339445, 2.3081114 48.7304853)
Avenue du Maréchal Leclerc	LINESTRING (2.2991764 48.7215825, 2.2990775 48.7209227, 2.2988747 48.7195701, 2.2988545 48.7194734)
Route Nationale 19	LINESTRING (2.5727702 48.7162807, 2.572942 48.7161536)
Route Nationale 19	LINESTRING (2.5412763 48.727571, 2.5406564 48.7275637, 2.5401961 48.7275523)
Route Nationale 19	LINESTRING (2.5644256 48.7209641, 2.5637428 48.7213455)
Route Nationale 19	LINESTRING (2.5644256 48.7209641, 2.5649938 48.7205938, 2.5652968 48.7204238, 2.5653854 48.7203754)
Route Nationale 19	LINESTRING (2.5727702 48.7162807, 2.5727503 48.7162919, 2.57258 48.7163881, 2.5722626 48.7165673, 2.572179 48.7166144, 2.5719459 48.716746)
Route Nationale 19	LINESTRING (2.5742239 48.7155296, 2.5740966 48.7155709, 2.5739383 48.7156513, 2.5731021 48.7161271, 2.5727702 48.7162807)
Route Nationale 19	LINESTRING (2.5744885 48.715199, 2.5746025 48.71518, 2.5746897 48.7151615, 2.5747772 48.7151213, 2.575024 48.7149731)
Route Nationale 19	LINESTRING (2.5786304 48.7129735, 2.5790106 48.7127112, 2.5798913 48.7122107)
Route Nationale 19	LINESTRING (2.5828419 48.7106685, 2.5816697 48.7113183)
Route Nationale 19	LINESTRING (2.5786304 48.7129735, 2.577354 48.7136928, 2.5768685 48.7139664, 2.5763025 48.7142853, 2.5761017 48.7143985, 2.5758259 48.714554)
Route Nationale 19	LINESTRING (2.5750707 48.7150175, 2.5747108 48.7152148, 2.5746408 48.7152631, 2.5745898 48.7152982)
Route Nationale 19	LINESTRING (2.5680663 48.7189225, 2.5677135 48.7191659, 2.5674525 48.7193212)
Rue de Berlin	LINESTRING (2.3662751 48.7312793, 2.3663297 48.7309376, 2.3663301 48.7308887, 2.3663495 48.7306399, 2.366355 48.7305073)
Avenue Sud	LINESTRING (2.3702474 48.730133, 2.3701411 48.7301434, 2.3700418 48.7301599, 2.3699232 48.7301885, 2.3698245 48.7302192, 2.3697088 48.7302706, 2.3696109 48.730321, 2.3695264 48.7303802, 2.3694446 48.730451, 2.3693792 48.730513, 2.3692499 48.7306306)
Avenue Sud	LINESTRING (2.3716776 48.7296694, 2.3716735 48.7297007, 2.3716611 48.7297373)
Avenue de l'Union	LINESTRING (2.3722536 48.7304621, 2.3722273 48.7304051, 2.3721629 48.7303059, 2.3720757 48.7302042, 2.3719885 48.7301234, 2.3718635 48.7300367, 2.3717535 48.7299792, 2.3715956 48.7299159, 2.3713922 48.7298534, 2.3713116 48.7298339, 2.3712286 48.729816, 2.3710334 48.72978, 2.3702162 48.7296314)
Avenue Ouest	LINESTRING (2.3654393 48.7300004, 2.3653221 48.7299742, 2.3652652 48.7299611, 2.3648327 48.7298714)
Avenue Ouest	LINESTRING (2.3600828 48.7294472, 2.3597849 48.7293943, 2.359693 48.7293698, 2.3596213 48.7293356, 2.3595663 48.7292926, 2.3595281 48.7292406, 2.35951 48.729179, 2.3594514 48.7288687, 2.3594456 48.7288379, 2.359441 48.7287939, 2.3594391 48.7287481, 2.3594438 48.7287027, 2.3594553 48.7286578, 2.3594695 48.7286111, 2.359541 48.728442, 2.3596585 48.7281643, 2.3597423 48.7279662, 2.3597513 48.7279504, 2.3597612 48.7279331, 2.3597847 48.727901, 2.3598129 48.7278701, 2.3599297 48.7277703, 2.3602386 48.7275065, 2.3602804 48.7274912)
Rue des Transporteurs	LINESTRING (2.3597828 48.7289138, 2.3597649 48.7288899, 2.3597599 48.7288646, 2.3597619 48.7288403, 2.3597699 48.7288118, 2.3599049 48.7284941, 2.3600937 48.7280542, 2.3601193 48.7279924, 2.3601361 48.7279718, 2.3601648 48.7279482, 2.3602242 48.7279192, 2.3602738 48.7278834, 2.36034 48.7278414)
Rue de Rome	LINESTRING (2.3646188 48.7298288, 2.3642632 48.729715, 2.364155 48.7296851, 2.3640446 48.7296506, 2.3639295 48.7296099, 2.3639206 48.7296064, 2.3637785 48.72955, 2.3636092 48.7294622)
Avenue Ouest	LINESTRING (2.3648327 48.7298714, 2.3646188 48.7298288, 2.3643639 48.7297964, 2.3641178 48.7297589)
Rue Jules Védrines	LINESTRING (2.3632249 48.7299123, 2.3632206 48.7299976, 2.3632296 48.7300686, 2.3632531 48.7301296, 2.3632713 48.7301602, 2.3633244 48.7302134, 2.3633635 48.7302405, 2.363403 48.7302618, 2.3634927 48.7302984, 2.3636232 48.7303333, 2.3637257 48.7303538, 2.3638089 48.7303612, 2.3639046 48.7303603, 2.3639944 48.7303542, 2.3643203 48.7303209, 2.364604 48.730259, 2.364982 48.7302177, 2.3650153 48.7302174, 2.3650639 48.730222, 2.3651176 48.7302219)
Rue Madeleine Charmaux	LINESTRING (2.3652742 48.7302056, 2.365426 48.7301993, 2.3655588 48.7301975, 2.3656816 48.7302018, 2.3658131 48.7302134, 2.3660263 48.7302477, 2.3664458 48.7303209)
Rue Madeleine Charmaux	LINESTRING (2.3664458 48.7303209, 2.3665572 48.7303373, 2.3666871 48.730344, 2.3668005 48.7303433, 2.3669037 48.7303323, 2.3669862 48.7303177, 2.3670858 48.7302918, 2.3671856 48.7302599, 2.3672799 48.7302194, 2.3673765 48.7301662, 2.3674291 48.7301325, 2.3674887 48.7300856, 2.3675527 48.7300287, 2.3676195 48.7299482)
Rue de Berlin	LINESTRING (2.366355 48.7305073, 2.3663492 48.7302644, 2.3663541 48.7300079)
Avenue Gourgaud	LINESTRING (2.4995759 48.7298378, 2.499731 48.7299039, 2.4998834 48.7299584, 2.5001147 48.7300144, 2.5009991 48.7302045, 2.5027133 48.7305625, 2.5033989 48.7307088, 2.5063826 48.7313303, 2.5073852 48.7315364, 2.5075619 48.7315809, 2.5076849 48.7316201, 2.5077688 48.7316419, 2.5078896 48.731664, 2.508069 48.7316851, 2.5082418 48.7317197, 2.508532 48.731779)
Avenue de la Grange	LINESTRING (2.499326 48.7291636, 2.4992944 48.7293067, 2.4992826 48.7293763, 2.4992742 48.7294493)
Avenue de la Grange	LINESTRING (2.4997021 48.7245488, 2.4997565 48.7246704, 2.5000416 48.7251738, 2.5002725 48.7255718, 2.5003662 48.7257343, 2.5004162 48.7258398, 2.5004635 48.7259649, 2.5004988 48.7260807, 2.5005217 48.7261979, 2.5005373 48.7263274, 2.5005446 48.7264377, 2.5005389 48.7265579, 2.5005261 48.7266566, 2.5004811 48.7267909, 2.5003871 48.7269555)
Avenue de la Grange	LINESTRING (2.4991698 48.7297546, 2.4992062 48.7295962, 2.4992051 48.7294758, 2.499216 48.7293781, 2.4992323 48.7293019, 2.499326 48.7291636)
Avenue de la Grange	LINESTRING (2.5002794 48.7272018, 2.5002407 48.7272855, 2.4999967 48.7277633, 2.4995378 48.728727, 2.4993978 48.7290067, 2.499326 48.7291636)
Avenue de la Grange	LINESTRING (2.5003871 48.7269555, 2.5004014 48.7267914, 2.5004346 48.7266647, 2.5004478 48.7265562, 2.5004558 48.726446, 2.5004498 48.7263273, 2.5004386 48.7262195, 2.5004102 48.7260958, 2.5003771 48.7259777, 2.5003309 48.7258587, 2.5002774 48.7257478, 2.5001848 48.7255938, 2.4999474 48.7251895, 2.4996669 48.7246919, 2.4996087 48.7245614, 2.4995608 48.7244085, 2.4995191 48.7242518, 2.4995074 48.7241841, 2.4995 48.7241107, 2.4994721 48.72393, 2.4994735 48.7237987, 2.4994912 48.723555, 2.4994766 48.7235093, 2.4994343 48.7234584, 2.4993141 48.7233626)
Rue Raymond Poincaré	LINESTRING (2.4998793 48.7211713, 2.4998885 48.7213473, 2.4998229 48.7219275, 2.4998197 48.7219557, 2.499808 48.722059)
Rue Raymond Poincaré	LINESTRING (2.4984388 48.707519, 2.4984054 48.7076118, 2.4983759 48.7076807)
Rue Raymond Poincaré	LINESTRING (2.5001352 48.7192879, 2.500112 48.7194795, 2.5000833 48.7197191, 2.500052 48.7199457, 2.5000207 48.720257, 2.4999127 48.7209552, 2.4998793 48.7211713)
Rue Raymond Poincaré	LINESTRING (2.5002019 48.7188033, 2.5001976 48.718731, 2.5002024 48.7186683, 2.5002236 48.7185303, 2.5002316 48.7184947, 2.5002395 48.7184591, 2.5002571 48.718387)
Rue Raymond Poincaré	LINESTRING (2.4981793 48.7091873, 2.4987467 48.7097825, 2.4988557 48.7098801)
Rue Raymond Poincaré	LINESTRING (2.4981793 48.7091873, 2.4980253 48.7090267, 2.4979386 48.708927, 2.4978935 48.7088659, 2.4978357 48.7087098, 2.4978122 48.7086135, 2.4978135 48.708481, 2.4978443 48.70837, 2.497876 48.7082723, 2.4979301 48.7081831, 2.4980542 48.7080293, 2.4982391 48.7078092, 2.4982638 48.7077609)
